timestamp,open_ftx_1H,high_ftx_1H,low_ftx_1H,close_ftx_1H,volume_ftx_1H
2021-10-04 16:00:00,47791.0,48941.0,47723.0,48604.0,3588475.1249
2021-10-04 17:00:00,48602.0,49475.0,48222.0,49315.0,4203252.824
2021-10-04 18:00:00,49315.0,49503.0,49044.0,49331.0,2898604.8847
2021-10-04 19:00:00,49329.0,49464.0,48914.0,49388.0,2012012.702
2021-10-04 20:00:00,49388.0,49483.0,48987.0,49001.0,2595244.44
2021-10-04 21:00:00,49001.0,49167.0,48590.0,48931.0,2058394.7218
2021-10-04 22:00:00,48931.0,49054.0,48697.0,48930.0,729506.8944
2021-10-04 23:00:00,48930.0,49449.0,48898.0,49237.0,3413934.604
2021-10-05 00:00:00,49237.0,49780.0,49060.0,49534.0,8862228.954
2021-10-05 01:00:00,49534.0,49606.0,49173.0,49247.0,2530115.9012
2021-10-05 02:00:00,49248.0,49390.0,49067.0,49338.0,856944.8173
2021-10-05 03:00:00,49338.0,49499.0,49136.0,49311.0,1211535.4338
2021-10-05 04:00:00,49311.0,49328.0,49101.0,49170.0,223125.4863
2021-10-05 05:00:00,49170.0,49428.0,49145.0,49331.0,419119.5924
2021-10-05 06:00:00,49331.0,49479.0,49263.0,49316.0,462860.524
2021-10-05 07:00:00,49318.0,49685.0,49264.0,49490.0,592335.6662
2021-10-05 08:00:00,49490.0,49954.0,49400.0,49933.0,1070906.2869
2021-10-05 09:00:00,49933.0,50324.0,49610.0,50277.0,9769473.6615
2021-10-05 10:00:00,50277.0,50388.0,49871.0,50007.0,1680771.5665
2021-10-05 11:00:00,50009.0,50142.0,49842.0,49890.0,2079308.1756
2021-10-05 12:00:00,49890.0,50123.0,49741.0,50001.0,1288611.5736
2021-10-05 13:00:00,50006.0,50333.0,49787.0,50234.0,1803155.2806
2021-10-05 14:00:00,50234.0,50380.0,49592.0,49849.0,3917965.4914
2021-10-05 15:00:00,49849.0,50202.0,49710.0,49802.0,3532896.9734
2021-10-05 16:00:00,49802.0,50133.0,49687.0,50119.0,1080417.508
2021-10-05 17:00:00,50119.0,50221.0,49972.0,50165.0,1137497.2194
2021-10-05 18:00:00,50165.0,50767.0,50159.0,50636.0,2896422.901
2021-10-05 19:00:00,50636.0,51388.0,50587.0,51201.0,5678398.9502
2021-10-05 20:00:00,51201.0,51788.0,51140.0,51485.0,8257344.3095
2021-10-05 21:00:00,51485.0,51900.0,51343.0,51744.0,3925748.5718
2021-10-05 22:00:00,51744.0,51791.0,51345.0,51370.0,1377176.1132
2021-10-05 23:00:00,51370.0,51632.0,51358.0,51490.0,2121657.0495
2021-10-06 00:00:00,51490.0,51504.0,51251.0,51342.0,6487151.1262
2021-10-06 01:00:00,51341.0,51353.0,50929.0,51296.0,6367079.8228
2021-10-06 02:00:00,51296.0,51612.0,51170.0,51576.0,1456604.9553
2021-10-06 03:00:00,51576.0,51622.0,51320.0,51543.0,2253669.2314
