timestamp,Unnamed: 0,Unnamed: 0.1,open_BTC_ftx_1H,high_BTC_ftx_1H,low_BTC_ftx_1H,close,volume_BTC_ftx_1H,price
2020-11-26 06:00:00,,,,,,,,
2020-11-26 08:00:00,1.0,1.0,17608.0,17608.0,16331.0,16830.0,279481.3423,16830.0
2020-11-26 10:00:00,3.0,3.0,17048.5,17314.0,17048.5,17282.0,6730.5291,17282.0
2020-11-26 12:00:00,5.0,5.0,17121.0,17392.5,17010.5,17366.0,2749.4,17366.0
2020-11-26 14:00:00,7.0,7.0,17070.5,17116.5,16715.5,16715.5,6973.47285,16715.5
2020-11-26 16:00:00,9.0,9.0,16900.0,17010.0,16629.5,16652.5,71441.15945,16652.5
2020-11-26 18:00:00,11.0,11.0,16681.5,16817.5,16546.0,16576.5,34288.6966,16576.5
2020-11-26 20:00:00,13.0,13.0,16496.0,17149.5,16491.5,17149.5,2710.88,17149.5
2020-11-26 22:00:00,15.0,15.0,17078.0,17238.0,17022.5,17225.0,0.0,17225.0
2020-11-27 00:00:00,17.0,17.0,17174.5,17392.5,17068.5,17375.5,0.0,17375.5
2020-11-27 02:00:00,19.0,19.0,17304.0,17308.0,17104.0,17125.5,2759.45435,17125.5
2020-11-27 04:00:00,21.0,21.0,17125.0,17219.5,17084.0,17089.0,1128.1339,17089.0
2020-11-27 06:00:00,23.0,23.0,17253.0,17310.0,17200.0,17273.0,1381.6,17273.0
2020-11-27 08:00:00,25.0,25.0,17101.5,17106.5,16736.5,16845.0,60620.5802,16845.0
2020-11-27 10:00:00,27.0,27.0,16633.5,16913.5,16633.5,16880.0,2685.84,16880.0
2020-11-27 12:00:00,29.0,29.0,16774.0,17058.0,16774.0,17046.5,0.0,17046.5
2020-11-27 14:00:00,31.0,31.0,16965.0,16976.0,16734.0,16782.5,91061.22635,16782.5
2020-11-27 16:00:00,33.0,33.0,16485.5,16826.5,16474.0,16796.5,44510.7164,16796.5
2020-11-27 18:00:00,35.0,35.0,16713.5,16861.5,16706.0,16769.0,0.0,16769.0
2020-11-27 20:00:00,37.0,37.0,16801.0,17121.0,16774.5,17060.0,46669.8206,17060.0
2020-11-27 22:00:00,39.0,39.0,17000.0,17041.0,16936.0,16985.5,82541.3262,16985.5
2020-11-28 00:00:00,41.0,41.0,17133.5,17167.0,17005.0,17138.5,5294.27,17138.5
2020-11-28 02:00:00,43.0,43.0,17129.0,17129.0,17003.0,17015.5,3022.528,17015.5
2020-11-28 04:00:00,45.0,45.0,16992.0,17028.5,16918.0,16954.0,41733.5612,16954.0
2020-11-28 06:00:00,47.0,47.0,16983.5,17045.0,16960.0,17037.5,1363.24,17037.5
2020-11-28 08:00:00,49.0,49.0,17033.0,17052.5,16879.5,16899.5,4241.015,16899.5
2020-11-28 10:00:00,51.0,51.0,16931.5,17257.5,16888.0,17203.5,45457.30325,17203.5
2020-11-28 12:00:00,53.0,53.0,17161.0,17232.5,17080.5,17136.0,19952.26,17136.0
2020-11-28 14:00:00,55.0,55.0,17363.5,17398.5,17276.5,17350.0,3293.93,17350.0
2020-11-28 16:00:00,57.0,57.0,17523.0,17778.0,17523.0,17723.5,56376.9973,17723.5
2020-11-28 18:00:00,59.0,59.0,17759.0,17779.0,17669.0,17740.5,6901.44,17740.5
2020-11-28 20:00:00,61.0,61.0,17826.0,17891.0,17696.0,17700.5,4464.125,17700.5
2020-11-28 22:00:00,63.0,63.0,17753.5,17843.5,17649.0,17779.0,11755.87,17779.0
2020-11-29 00:00:00,65.0,65.0,17733.0,17746.5,17552.5,17667.0,6644.4594,17667.0
