,timestamp,open_ETH_ftx_1H,high_ETH_ftx_1H,low_ETH_ftx_1H,close_ETH_ftx_1H,volume_ETH_ftx_1H,price
0,2020-11-26 07:00:00,531.78,531.81,511.15,514.61,2461.51806,514.61
1,2020-11-26 08:00:00,514.61,516.15,483.68,497.46,18713.03712,497.46
2,2020-11-26 09:00:00,497.3,507.3,494.13,502.34,995.58,502.34
3,2020-11-26 10:00:00,503.34,513.6,501.83,512.57,244.80014,512.57
4,2020-11-26 11:00:00,512.21,520.13,509.8,514.6,249.5504,514.6
5,2020-11-26 12:00:00,514.6,526.02,509.88,524.17,0.0,524.17
6,2020-11-26 13:00:00,524.17,525.47,513.11,513.82,0.0,513.82
7,2020-11-26 14:00:00,513.82,516.17,502.26,502.94,13835.30495,502.94
8,2020-11-26 15:00:00,503.83,518.39,501.35,506.85,0.0,506.85
9,2020-11-26 16:00:00,507.72,511.87,495.75,498.95,0.0,498.95
10,2020-11-26 17:00:00,498.58,498.93,483.07,494.73,5734.14431,494.73
11,2020-11-26 18:00:00,494.73,502.36,491.68,496.36,5084.197,496.36
12,2020-11-26 19:00:00,496.36,503.65,489.14,499.55,8694.28156,499.55
13,2020-11-26 20:00:00,499.55,523.15,499.22,521.75,397.10714,521.75
14,2020-11-26 21:00:00,521.75,523.47,513.51,515.44,3573.02712,515.44
15,2020-11-26 22:00:00,515.44,521.68,514.29,520.82,0.0,520.82
16,2020-11-26 23:00:00,520.85,521.08,514.05,518.72,0.0,518.72
17,2020-11-27 00:00:00,519.37,529.72,516.71,528.17,520.0,528.17
18,2020-11-27 01:00:00,528.17,530.11,524.54,526.51,551.82862,526.51
19,2020-11-27 02:00:00,526.51,528.18,517.23,518.58,0.0,518.58
20,2020-11-27 03:00:00,518.58,526.08,518.41,520.78,520.434,520.78
21,2020-11-27 04:00:00,520.78,524.58,519.79,520.27,520.52,520.27
22,2020-11-27 05:00:00,520.27,528.85,520.0,526.6,0.0,526.6
23,2020-11-27 06:00:00,526.31,527.19,522.68,525.45,0.0,525.45
24,2020-11-27 07:00:00,525.45,525.75,515.76,518.01,0.0,518.01
25,2020-11-27 08:00:00,518.1,520.0,503.48,509.75,0.0,509.75
26,2020-11-27 09:00:00,509.75,516.79,503.0,504.97,0.0,504.97
27,2020-11-27 10:00:00,504.97,513.89,504.35,512.93,0.0,512.93
28,2020-11-27 11:00:00,512.93,512.93,505.0,508.37,0.0,508.37
29,2020-11-27 12:00:00,508.26,515.13,506.76,514.46,0.0,514.46
30,2020-11-27 13:00:00,514.46,517.28,511.44,512.38,0.0,512.38
31,2020-11-27 14:00:00,512.38,513.38,505.92,508.68,7645.88068,508.68
32,2020-11-27 15:00:00,508.68,509.87,493.67,497.03,501.0,497.03
33,2020-11-27 16:00:00,497.34,506.48,494.29,505.87,18442.0668,505.87
34,2020-11-27 17:00:00,505.69,506.27,502.65,504.64,0.0,504.64
35,2020-11-27 18:00:00,504.64,508.58,502.96,506.24,0.0,506.24
36,2020-11-27 19:00:00,506.24,508.27,504.58,506.57,0.0,506.57
37,2020-11-27 20:00:00,506.34,515.16,505.46,514.11,0.0,514.11
38,2020-11-27 21:00:00,514.28,516.81,510.76,516.33,5992.7211,516.33
39,2020-11-27 22:00:00,516.33,518.69,513.1,514.43,0.0,514.43
40,2020-11-27 23:00:00,514.43,518.86,514.43,518.18,0.0,518.18
41,2020-11-28 00:00:00,518.67,520.46,514.58,518.32,0.0,518.32
42,2020-11-28 01:00:00,518.32,520.38,516.54,520.05,0.0,520.05
43,2020-11-28 02:00:00,520.08,520.14,513.51,514.13,0.0,514.13
44,2020-11-28 03:00:00,514.13,516.54,513.43,516.25,0.0,516.25
45,2020-11-28 04:00:00,516.25,516.54,510.25,513.75,0.0,513.75
46,2020-11-28 05:00:00,513.75,514.38,510.48,513.38,841.84941,513.38
47,2020-11-28 06:00:00,513.41,515.15,513.01,514.04,0.0,514.04
48,2020-11-28 07:00:00,514.04,516.25,513.01,513.95,0.0,513.95
49,2020-11-28 08:00:00,514.28,517.13,507.78,508.86,0.0,508.86
50,2020-11-28 09:00:00,508.86,511.88,507.08,510.58,0.0,510.58
51,2020-11-28 10:00:00,510.62,518.9,509.54,516.92,0.0,516.92
52,2020-11-28 11:00:00,516.92,520.25,514.32,518.73,0.0,518.73
53,2020-11-28 12:00:00,518.8,520.58,515.81,517.64,0.0,517.64
54,2020-11-28 13:00:00,517.64,528.65,515.49,528.27,227.71,528.27
55,2020-11-28 14:00:00,528.27,529.07,524.7,528.92,194.64256,528.92
56,2020-11-28 15:00:00,528.92,534.15,525.76,533.44,255.18012,533.44
57,2020-11-28 16:00:00,533.44,542.76,533.44,540.57,31.85417,540.57
58,2020-11-28 17:00:00,540.57,542.43,535.38,541.58,6926.38305,541.58
59,2020-11-28 18:00:00,541.58,545.77,540.71,543.52,0.0,543.52
60,2020-11-28 19:00:00,543.52,547.29,539.65,546.59,0.0,546.59
61,2020-11-28 20:00:00,546.65,548.74,540.45,541.41,0.0,541.41
62,2020-11-28 21:00:00,541.41,544.34,540.92,543.5,0.0,543.5
63,2020-11-28 22:00:00,543.5,547.6,541.1,542.72,0.0,542.72
64,2020-11-28 23:00:00,542.72,545.77,535.99,537.67,3251.82,537.67
65,2020-11-29 00:00:00,537.67,539.21,532.34,538.07,0.0,538.07
66,2020-11-29 01:00:00,538.07,538.49,531.25,534.41,0.0,534.41
67,2020-11-29 02:00:00,534.41,541.33,532.25,540.76,0.0,540.76
68,2020-11-29 03:00:00,540.52,544.55,539.98,543.44,0.0,543.44
69,2020-11-29 04:00:00,543.44,543.84,538.72,539.49,0.0,539.49
70,2020-11-29 05:00:00,539.49,542.98,538.32,541.51,0.0,541.51
71,2020-11-29 06:00:00,541.51,541.55,536.94,538.79,0.0,538.79
72,2020-11-29 07:00:00,538.51,543.2,536.25,541.73,0.0,541.73
73,2020-11-29 08:00:00,541.73,552.09,540.91,551.05,0.0,551.05
74,2020-11-29 09:00:00,551.59,554.05,547.73,551.45,265.5601,551.45
75,2020-11-29 10:00:00,551.45,555.34,549.38,554.8,0.0,554.8
76,2020-11-29 11:00:00,554.8,559.07,548.62,551.67,0.0,551.67
77,2020-11-29 12:00:00,551.67,553.71,547.28,551.08,0.0,551.08
78,2020-11-29 13:00:00,551.08,555.11,550.41,555.07,0.0,555.07
79,2020-11-29 14:00:00,555.07,557.05,552.57,552.8,101.47533,552.8
80,2020-11-29 15:00:00,552.8,555.7,550.81,554.57,0.0,554.57
81,2020-11-29 16:00:00,554.57,557.51,549.52,554.29,0.0,554.29
82,2020-11-29 17:00:00,554.29,557.02,552.89,553.87,0.0,553.87
83,2020-11-29 18:00:00,554.22,554.58,551.67,554.51,0.0,554.51
84,2020-11-29 19:00:00,554.51,555.54,551.62,552.29,0.0,552.29
85,2020-11-29 20:00:00,552.29,557.72,551.76,557.27,0.0,557.27
86,2020-11-29 21:00:00,557.27,569.71,556.86,567.85,6302.15966,567.85
87,2020-11-29 22:00:00,567.89,573.19,563.8,571.22,2258.13328,571.22
88,2020-11-29 23:00:00,571.39,577.44,571.22,576.81,3265.8041,576.81
89,2020-11-30 00:00:00,576.81,593.03,575.99,588.06,10.60128,588.06
90,2020-11-30 01:00:00,588.06,593.0,583.38,587.55,79.15185,587.55
91,2020-11-30 02:00:00,587.49,589.41,585.36,586.31,0.0,586.31
92,2020-11-30 03:00:00,586.31,589.62,582.39,588.46,11.18055,588.46
93,2020-11-30 04:00:00,588.46,589.16,584.06,585.55,0.0,585.55
94,2020-11-30 05:00:00,585.55,588.45,583.05,583.52,7584.50852,583.52
95,2020-11-30 06:00:00,583.52,585.57,580.88,584.14,4573.04161,584.14
96,2020-11-30 07:00:00,584.14,588.16,583.48,585.84,454.39218,585.84
97,2020-11-30 08:00:00,585.84,586.65,573.08,577.71,0.0,577.71
98,2020-11-30 09:00:00,577.71,580.41,571.42,576.94,0.0,576.94
99,2020-11-30 10:00:00,576.94,583.5,575.68,581.01,1997.07192,581.01
100,2020-11-30 11:00:00,581.01,592.21,580.6,589.24,10.03493,589.24
101,2020-11-30 12:00:00,589.24,596.59,588.71,596.02,15883.65006,596.02
102,2020-11-30 13:00:00,596.5,605.55,590.98,602.42,5882.79513,602.42
103,2020-11-30 14:00:00,602.42,613.18,599.65,605.63,18596.65647,605.63
104,2020-11-30 15:00:00,605.63,610.57,594.46,596.71,62662.82855,596.71
105,2020-11-30 16:00:00,596.71,614.35,596.71,602.75,867.46307,602.75
106,2020-11-30 17:00:00,602.23,612.89,595.01,606.14,0.0,606.14
107,2020-11-30 18:00:00,606.14,609.3,597.35,598.36,0.0,598.36
108,2020-11-30 19:00:00,598.36,612.89,596.5,603.16,0.0,603.16
109,2020-11-30 20:00:00,603.16,607.65,599.2,606.64,3863.25673,606.64
110,2020-11-30 21:00:00,606.64,609.23,604.07,606.17,0.0,606.17
111,2020-11-30 22:00:00,606.17,610.88,602.18,610.67,0.0,610.67
112,2020-11-30 23:00:00,610.67,616.86,608.58,616.29,0.0,616.29
113,2020-12-01 00:00:00,616.29,617.27,603.59,605.63,0.0,605.63
114,2020-12-01 01:00:00,605.63,611.9,603.42,610.2,0.0,610.2
115,2020-12-01 02:00:00,610.2,611.6,607.53,611.05,67.2155,611.05
116,2020-12-01 03:00:00,611.05,611.05,603.91,606.0,0.0,606.0
117,2020-12-01 04:00:00,606.0,609.05,602.31,604.06,0.0,604.06
118,2020-12-01 05:00:00,604.06,609.36,601.91,608.54,0.0,608.54
119,2020-12-01 06:00:00,608.77,612.35,604.88,605.81,0.0,605.81
120,2020-12-01 07:00:00,605.81,611.39,604.78,611.05,0.0,611.05
121,2020-12-01 08:00:00,611.05,613.06,608.88,609.51,0.0,609.51
122,2020-12-01 09:00:00,609.51,615.08,608.92,614.35,0.0,614.35
123,2020-12-01 10:00:00,614.49,629.09,613.77,627.74,1129.0144,627.74
124,2020-12-01 11:00:00,627.78,636.78,599.77,617.04,39008.17686,617.04
125,2020-12-01 12:00:00,617.04,618.36,563.46,577.81,36812.2527,577.81
126,2020-12-01 13:00:00,580.53,594.51,567.01,589.84,8999.7156,589.84
