,timestamp_compound_2H,block_number_compound_2H,exchange_rates_compound_2H,borrow_rates_compound_2H,supply_rates_compound_2H,total_borrows_history_compound_2H,total_supply_history_compound_2H,prices_usd_compound_2H
7455,2021-10-02 16:00:00,13292595,0.022196695325590828,0.05759219904417317,0.042758035081464134,3661151561.52847940,204048353466.08907129,0.000000
7456,2021-10-02 17:00:03,13292869,0.022196779142711842,0.05838150339536556,0.04337289691898301,3661007137.09809972,203888215157.24728468,1.000000
7457,2021-10-02 18:00:00,13293142,0.022196878599231234,0.0585028651309069,0.043467352973518815,3661037855.59161430,203865709109.06458767,0.000000
7458,2021-10-02 19:00:03,13293416,0.022196984726951394,0.05852183791265943,0.043482142356630706,3661094676.32750500,203864265299.73912929,1.000000
7459,2021-10-02 20:00:00,13293690,0.02219711585780621,0.0587315753037295,0.043645664220203904,3661782092.60031806,203861180027.84576329,0.000000
7460,2021-10-02 21:00:03,13293964,0.0221972061563808,0.05853903325060993,0.04349633307112402,3663001061.69270429,203965432794.50307320,1.000000
7461,2021-10-02 22:00:00,13294237,0.02219732380163598,0.05555907899841991,0.0411781264987042,3662880077.80593013,204530579910.13754413,0.000000
7462,2021-10-02 23:00:03,13294511,0.02219740922145806,0.05575716267770418,0.04133183780437847,3662929525.08371930,204494297380.93851197,1.000000
7463,2021-10-03 00:00:00,13294785,0.022197520666213798,0.05591519865337588,0.041454492601126706,3663153502.50371086,204475261118.12505348,0.000000
7464,2021-10-03 01:00:03,13295059,0.022197617997706105,0.05591472231680511,0.041454122828771256,3663172857.48191793,204475536860.17830026,1.000000
7465,2021-10-03 02:00:00,13295333,0.02219772994906483,0.05561201068085707,0.04122049856080229,3654197504.66367500,204032220782.73976984,0.000000
7466,2021-10-03 02:59:56,13295606,0.022197838855671555,0.05664375042050068,0.04202037642000836,3638287782.79717863,202944836411.57739602,1.000000
7467,2021-10-03 04:00:00,13295880,0.022197929041878475,0.0566487056612539,0.04202422689578648,3638191626.41141189,202937700490.63276087,0.000000
7468,2021-10-03 05:00:03,13296154,0.022198043371781707,0.056670048860718185,0.04204081252142044,3638193529.91853257,202932678046.02235446,1.000000
7469,2021-10-03 06:00:00,13296428,0.022198120582052793,0.056692023062601744,0.04205789115851264,3638193551.96664350,202927770126.10915259,0.000000
7470,2021-10-03 06:59:56,13296701,0.02219825280777748,0.05668162083263779,0.04204980681462886,3638170333.82313080,202927256118.07282652,1.000000
