timestamp,Unnamed: 0_deribit_1H_BTC,volume_deribit_1H_BTC,ticks_deribit_1H_BTC,status_deribit_1H_BTC,open_deribit_1H_BTC,low_deribit_1H_BTC,high_deribit_1H_BTC,cost_deribit_1H_BTC,close
2020-11-26 07:00:00,479,3.11954433,1606377540.0,ok,17548.5,17548.5,17632.5,54840.0,17632.5
2020-11-26 08:00:00,539,56.70057078,1606381140.0,ok,16848.0,16848.0,16920.5,958020.0,16896.0
2020-11-26 09:00:00,599,1925.49032018,1606384740.0,ok,17100.5,16987.5,17272.5,32999650.0,17079.0
2020-11-26 10:00:00,659,2.72157198,1606388340.0,ok,17288.5,17288.5,17310.0,47070.0,17305.0
2020-11-26 11:00:00,719,21.94996763,1606391940.0,ok,17084.5,17037.5,17131.5,374780.0,17117.5
2020-11-26 12:00:00,779,1.06980962,1606395540.0,ok,17376.5,17376.5,17420.0,18610.0,17404.0
2020-11-26 13:00:00,839,6.1956251,1606399140.0,ok,17122.5,17087.0,17122.5,105940.0,17087.0
2020-11-26 14:00:00,899,0.9238293,1606402740.0,ok,16789.0,16789.0,16830.5,15530.0,16805.0
2020-11-26 15:00:00,959,1.43260703,1606406340.0,ok,16908.0,16908.0,16944.0,24230.0,16921.0
2020-11-26 16:00:00,1019,7.4848087,1606409940.0,ok,16705.0,16657.5,16705.0,124870.0,16682.5
2020-11-26 17:00:00,1079,14.25031697,1606413540.0,ok,16698.0,16698.0,16749.0,238280.0,16746.0
2020-11-26 18:00:00,1139,11.99018107,1606417140.0,ok,16588.0,16544.0,16588.0,198730.0,16571.0
2020-11-26 19:00:00,1199,1.84132559,1606420740.0,ok,16536.5,16527.0,16572.5,30460.0,16561.0
2020-11-26 20:00:00,1259,3.79494539,1606424340.0,ok,17116.0,17116.0,17166.5,65060.0,17158.0
2020-11-26 21:00:00,1319,1.07229834,1606427940.0,ok,17086.0,17058.0,17086.0,18310.0,17070.0
2020-11-26 22:00:00,1379,481.47527242,1606431540.0,ok,17211.5,17046.0,17211.5,8217360.0,17187.5
2020-11-26 23:00:00,1439,0.5297286,1606435140.0,ok,17172.5,17170.0,17185.5,9100.0,17182.0
2020-11-27 00:00:00,59,11.44797804,1606438740.0,ok,17394.5,17394.5,17416.5,199290.0,17414.0
2020-11-27 01:00:00,119,4.77165898,1606442340.0,ok,17322.5,17322.5,17342.0,82660.0,17325.5
2020-11-27 02:00:00,179,0.00584501,1606445940.0,ok,17111.0,17105.0,17111.0,100.0,17105.0
2020-11-27 03:00:00,239,0.01870122,1606449540.0,ok,17120.0,17103.5,17120.0,320.0,17113.5
2020-11-27 04:00:00,299,5.18568726,1606453140.0,ok,17083.5,17077.5,17088.0,88560.0,17088.0
2020-11-27 05:00:00,359,11.06209358,1606456740.0,ok,17294.0,17285.0,17297.5,191240.0,17287.5
2020-11-27 06:00:00,419,0.0,1606460340.0,ok,17297.0,17297.0,17297.0,0.0,17297.0
2020-11-27 07:00:00,479,5.62466205,1606463940.0,ok,17131.5,17086.0,17131.5,96320.0,17090.5
2020-11-27 08:00:00,539,50.02081505,1606467540.0,ok,16859.5,16839.0,16860.0,842930.0,16846.0
2020-11-27 09:00:00,599,10.17563825,1606471140.0,ok,16618.5,16617.0,16691.0,169420.0,16660.0
2020-11-27 10:00:00,659,1.27153166,1606474740.0,ok,16919.0,16910.0,16928.0,21510.0,16910.0
2020-11-27 11:00:00,719,0.38535649,1606478340.0,ok,16799.0,16772.0,16799.0,6470.0,16789.0
2020-11-27 12:00:00,779,0.29127479,1606481940.0,ok,17054.5,17054.5,17075.5,4970.0,17075.5
2020-11-27 13:00:00,839,0.00826575,1606485540.0,ok,16944.5,16933.5,16944.5,140.0,16938.5
2020-11-27 14:00:00,899,12.52491016,1606489140.0,ok,16795.5,16757.0,16795.5,210190.0,16762.0
2020-11-27 15:00:00,959,15.64198286,1606492740.0,ok,16514.5,16470.5,16514.5,258070.0,16502.5
2020-11-27 16:00:00,1019,4.0322282,1606496340.0,ok,16824.0,16824.0,16833.5,67860.0,16832.5
2020-11-27 17:00:00,1079,1.21160287,1606499940.0,ok,16750.5,16750.5,16759.0,20300.0,16759.0
2020-11-27 18:00:00,1139,5.59821242,1606503540.0,ok,16784.5,16777.0,16799.0,94030.0,16799.0
2020-11-27 19:00:00,1199,0.48413866,1606507140.0,ok,16812.5,16806.0,16823.0,8140.0,16823.0
2020-11-27 20:00:00,1259,8.93092516,1606510740.0,ok,17075.0,17074.0,17093.5,152490.0,17093.5
2020-11-27 21:00:00,1319,0.00587554,1606514340.0,ok,17020.0,17018.5,17020.0,100.0,17018.5
2020-11-27 22:00:00,1379,0.09065028,1606517940.0,ok,16988.0,16975.5,17000.5,1540.0,16990.5
2020-11-27 23:00:00,1439,0.11490283,1606521540.0,ok,17130.0,17130.0,17153.0,1970.0,17153.0
2020-11-28 00:00:00,59,0.08036279,1606525140.0,ok,17170.0,17170.0,17174.0,1380.0,17173.0
2020-11-28 01:00:00,119,1.09360754,1606528740.0,ok,17142.5,17141.0,17152.0,18750.0,17152.0
