,timestamp,open_BTC_ftx_1H,high_BTC_ftx_1H,low_BTC_ftx_1H,close_BTC_ftx_1H,volume_BTC_ftx_1H,price
0,2020-11-26 07:00:00,17953.5,17953.5,17486.0,17608.0,65367.89755,17608.0
1,2020-11-26 08:00:00,17608.0,17608.0,16331.0,16830.0,279481.3423,16830.0
2,2020-11-26 09:00:00,16830.0,17117.5,16672.5,17048.5,13253.72425,17048.5
3,2020-11-26 10:00:00,17048.5,17314.0,17048.5,17282.0,6730.5291,17282.0
4,2020-11-26 11:00:00,17282.0,17410.5,16972.0,17121.0,8073.8799,17121.0
5,2020-11-26 12:00:00,17121.0,17392.5,17010.5,17366.0,2749.4,17366.0
6,2020-11-26 13:00:00,17366.0,17390.5,17070.5,17070.5,1365.64,17070.5
7,2020-11-26 14:00:00,17070.5,17116.5,16715.5,16715.5,6973.47285,16715.5
8,2020-11-26 15:00:00,16715.5,17226.5,16715.5,16900.0,107752.84195,16900.0
9,2020-11-26 16:00:00,16900.0,17010.0,16629.5,16652.5,71441.15945,16652.5
10,2020-11-26 17:00:00,16652.5,16711.0,16233.0,16681.5,119480.4693,16681.5
11,2020-11-26 18:00:00,16681.5,16817.5,16546.0,16576.5,34288.6966,16576.5
12,2020-11-26 19:00:00,16576.5,16636.0,16333.0,16493.0,124.4348,16493.0
13,2020-11-26 20:00:00,16496.0,17149.5,16491.5,17149.5,2710.88,17149.5
14,2020-11-26 21:00:00,17149.5,17303.0,17062.0,17078.0,355.1028,17078.0
15,2020-11-26 22:00:00,17078.0,17238.0,17022.5,17225.0,0.0,17225.0
16,2020-11-26 23:00:00,17225.0,17227.0,16971.5,17174.5,15797.1051,17174.5
17,2020-11-27 00:00:00,17174.5,17392.5,17068.5,17375.5,0.0,17375.5
18,2020-11-27 01:00:00,17375.5,17441.0,17289.5,17304.0,39020.52,17304.0
19,2020-11-27 02:00:00,17304.0,17308.0,17104.0,17125.5,2759.45435,17125.5
20,2020-11-27 03:00:00,17125.5,17278.0,17071.0,17125.0,0.0,17125.0
21,2020-11-27 04:00:00,17125.0,17219.5,17084.0,17089.0,1128.1339,17089.0
22,2020-11-27 05:00:00,17089.0,17332.5,17089.0,17253.0,0.0,17253.0
23,2020-11-27 06:00:00,17253.0,17310.0,17200.0,17273.0,1381.6,17273.0
24,2020-11-27 07:00:00,17273.0,17296.0,17049.0,17101.5,5593.37,17101.5
25,2020-11-27 08:00:00,17101.5,17106.5,16736.5,16845.0,60620.5802,16845.0
26,2020-11-27 09:00:00,16845.0,17178.0,16612.5,16633.5,96061.10695,16633.5
27,2020-11-27 10:00:00,16633.5,16913.5,16633.5,16880.0,2685.84,16880.0
28,2020-11-27 11:00:00,16880.0,16921.0,16768.5,16774.0,1341.92,16774.0
29,2020-11-27 12:00:00,16774.0,17058.0,16774.0,17046.5,0.0,17046.5
30,2020-11-27 13:00:00,17046.5,17059.5,16922.0,16965.0,1658.1288,16965.0
31,2020-11-27 14:00:00,16965.0,16976.0,16734.0,16782.5,91061.22635,16782.5
32,2020-11-27 15:00:00,16782.5,16797.0,16428.5,16485.5,66950.05245,16485.5
33,2020-11-27 16:00:00,16485.5,16826.5,16474.0,16796.5,44510.7164,16796.5
34,2020-11-27 17:00:00,16796.5,16796.5,16681.5,16713.5,4019.56,16713.5
35,2020-11-27 18:00:00,16713.5,16861.5,16706.0,16769.0,0.0,16769.0
36,2020-11-27 19:00:00,16769.0,16834.5,16718.5,16801.0,1343.96,16801.0
37,2020-11-27 20:00:00,16801.0,17121.0,16774.5,17060.0,46669.8206,17060.0
38,2020-11-27 21:00:00,17060.0,17074.5,16877.0,17000.0,108193.72045,17000.0
39,2020-11-27 22:00:00,17000.0,17041.0,16936.0,16985.5,82541.3262,16985.5
40,2020-11-27 23:00:00,16985.5,17156.0,16985.5,17133.5,47569.6294,17133.5
41,2020-11-28 00:00:00,17133.5,17167.0,17005.0,17138.5,5294.27,17138.5
42,2020-11-28 01:00:00,17138.5,17185.0,17063.5,17129.0,6851.68,17129.0
43,2020-11-28 02:00:00,17129.0,17129.0,17003.0,17015.5,3022.528,17015.5
44,2020-11-28 03:00:00,17015.5,17041.5,16937.5,16992.0,2716.0,16992.0
45,2020-11-28 04:00:00,16992.0,17028.5,16918.0,16954.0,41733.5612,16954.0
46,2020-11-28 05:00:00,16954.0,16983.5,16893.5,16983.5,2705.92,16983.5
47,2020-11-28 06:00:00,16983.5,17045.0,16960.0,17037.5,1363.24,17037.5
48,2020-11-28 07:00:00,17037.5,17066.5,17015.0,17033.0,1363.64,17033.0
49,2020-11-28 08:00:00,17033.0,17052.5,16879.5,16899.5,4241.015,16899.5
50,2020-11-28 09:00:00,16899.5,16971.0,16888.0,16931.5,2707.4,16931.5
51,2020-11-28 10:00:00,16931.5,17257.5,16888.0,17203.5,45457.30325,17203.5
52,2020-11-28 11:00:00,17203.5,17203.5,17116.5,17161.0,4113.68,17161.0
53,2020-11-28 12:00:00,17161.0,17232.5,17080.5,17136.0,19952.26,17136.0
54,2020-11-28 13:00:00,17136.0,17370.5,17091.0,17363.5,57335.93,17363.5
55,2020-11-28 14:00:00,17363.5,17398.5,17276.5,17350.0,3293.93,17350.0
56,2020-11-28 15:00:00,17350.0,17531.5,17350.0,17518.5,12739.82,17518.5
57,2020-11-28 16:00:00,17523.0,17778.0,17523.0,17723.5,56376.9973,17723.5
