timestamp,Unnamed: 0,Unnamed: 0.1,open_ETH_ftx_1H,high_ETH_ftx_1H,low_ETH_ftx_1H,close,volume_ETH_ftx_1H,price
2020-11-26 06:00:00,,,,,,,,
2020-11-26 08:00:00,1.0,1.0,514.61,516.15,483.68,497.46,18713.03712,497.46
2020-11-26 10:00:00,3.0,3.0,503.34,513.6,501.83,512.57,244.80014,512.57
2020-11-26 12:00:00,5.0,5.0,514.6,526.02,509.88,524.17,0.0,524.17
2020-11-26 14:00:00,7.0,7.0,513.82,516.17,502.26,502.94,13835.30495,502.94
2020-11-26 16:00:00,9.0,9.0,507.72,511.87,495.75,498.95,0.0,498.95
2020-11-26 18:00:00,11.0,11.0,494.73,502.36,491.68,496.36,5084.197,496.36
2020-11-26 20:00:00,13.0,13.0,499.55,523.15,499.22,521.75,397.10714,521.75
2020-11-26 22:00:00,15.0,15.0,515.44,521.68,514.29,520.82,0.0,520.82
2020-11-27 00:00:00,17.0,17.0,519.37,529.72,516.71,528.17,520.0,528.17
2020-11-27 02:00:00,19.0,19.0,526.51,528.18,517.23,518.58,0.0,518.58
2020-11-27 04:00:00,21.0,21.0,520.78,524.58,519.79,520.27,520.52,520.27
2020-11-27 06:00:00,23.0,23.0,526.31,527.19,522.68,525.45,0.0,525.45
2020-11-27 08:00:00,25.0,25.0,518.1,520.0,503.48,509.75,0.0,509.75
2020-11-27 10:00:00,27.0,27.0,504.97,513.89,504.35,512.93,0.0,512.93
2020-11-27 12:00:00,29.0,29.0,508.26,515.13,506.76,514.46,0.0,514.46
2020-11-27 14:00:00,31.0,31.0,512.38,513.38,505.92,508.68,7645.88068,508.68
2020-11-27 16:00:00,33.0,33.0,497.34,506.48,494.29,505.87,18442.0668,505.87
2020-11-27 18:00:00,35.0,35.0,504.64,508.58,502.96,506.24,0.0,506.24
2020-11-27 20:00:00,37.0,37.0,506.34,515.16,505.46,514.11,0.0,514.11
2020-11-27 22:00:00,39.0,39.0,516.33,518.69,513.1,514.43,0.0,514.43
2020-11-28 00:00:00,41.0,41.0,518.67,520.46,514.58,518.32,0.0,518.32
2020-11-28 02:00:00,43.0,43.0,520.08,520.14,513.51,514.13,0.0,514.13
2020-11-28 04:00:00,45.0,45.0,516.25,516.54,510.25,513.75,0.0,513.75
2020-11-28 06:00:00,47.0,47.0,513.41,515.15,513.01,514.04,0.0,514.04
2020-11-28 08:00:00,49.0,49.0,514.28,517.13,507.78,508.86,0.0,508.86
2020-11-28 10:00:00,51.0,51.0,510.62,518.9,509.54,516.92,0.0,516.92
2020-11-28 12:00:00,53.0,53.0,518.8,520.58,515.81,517.64,0.0,517.64
2020-11-28 14:00:00,55.0,55.0,528.27,529.07,524.7,528.92,194.64256,528.92
2020-11-28 16:00:00,57.0,57.0,533.44,542.76,533.44,540.57,31.85417,540.57
2020-11-28 18:00:00,59.0,59.0,541.58,545.77,540.71,543.52,0.0,543.52
2020-11-28 20:00:00,61.0,61.0,546.65,548.74,540.45,541.41,0.0,541.41
2020-11-28 22:00:00,63.0,63.0,543.5,547.6,541.1,542.72,0.0,542.72
2020-11-29 00:00:00,65.0,65.0,537.67,539.21,532.34,538.07,0.0,538.07
2020-11-29 02:00:00,67.0,67.0,534.41,541.33,532.25,540.76,0.0,540.76
2020-11-29 04:00:00,69.0,69.0,543.44,543.84,538.72,539.49,0.0,539.49
2020-11-29 06:00:00,71.0,71.0,541.51,541.55,536.94,538.79,0.0,538.79
2020-11-29 08:00:00,73.0,73.0,541.73,552.09,540.91,551.05,0.0,551.05
2020-11-29 10:00:00,75.0,75.0,551.45,555.34,549.38,554.8,0.0,554.8
2020-11-29 12:00:00,77.0,77.0,551.67,553.71,547.28,551.08,0.0,551.08
2020-11-29 14:00:00,79.0,79.0,555.07,557.05,552.57,552.8,101.47533,552.8
2020-11-29 16:00:00,81.0,81.0,554.57,557.51,549.52,554.29,0.0,554.29
